KEY: 0    ITEM: Scarlatti
KEY: 1    ITEM: Sor
KEY: 2    ITEM: Bach
KEY: 3    ITEM: Vivaldi
KEY: 4    ITEM: Stravinsky
KEY: 5    ITEM: Haendel
KEY: 6    ITEM: Liszt
KEY: 7    ITEM: Haydn
